Cod_item_faturado,CODITEM,MODELO,DESCITEM
120002014,120002014,LCA 15,LCA 15 BR 220V LCA15BBR2NAC/2
120001989,120001989,LCA 12,LCA 12 BR 220V LCA12BBR2NAC/2
120001986,120001986,LCA 12,LCA 12 BR 127V LCA12BBR1NAC/2
120002011,120002011,LCA 15,LCA 15 BR 127V LCA15BBR1NAC/2
120004430,120004430,"LCA 11,5","LCA 11,5 BR 127V LCA11CBRANAC"
120001990,120001990,LCA 12,LCA 12 BR 220V EXP LCA12BBR4EXP/2
120002016,120002016,LCA 15,LCA 15 BR 220V EXP LCA15BBR4EXP/1
120004214,120004214,LCA 12,LCA12 BR 220V 50HZ EXP GOODWEATHER
120004247,120004247,LCA 14,LCA 14 BRANCA 220V (50HZ) KERNIG
120004431,120004431,"LCA 11,5","LCA 11,5 BR 220V LCA11CBRBNAC"
120004215,120004215,LCA 15,LCA15 BR 220V 50HZ EXP GOODWEATHER
120004248,120004248,LCA 17,LCA 17 BRANCA 220V (50HZ) KERNIG
120004141,120004141,LCA 14,LCA 14 BR 220V EXP LEMYR
